id,editionNumber,year
9046524482011,48,2011
9046524261988,26,1988
9046524392003,39,2003
9046524452008,45,2008
904652522016,2,2016
9046526292008,29,2008
9046526342013,34,2013
9046526352014,35,2014
9046526422016,34,2013
9046526302009,29,2008
9046526392015,34,2013
9046526322011,34,2013
9046526502017,42,2016
9046526532018,30,2009
9046526512018,39,2015
9046526462017,32,2011
9046528642013,50,2017
9046528592008,39,2015
9046528492002,53,2018
9046528572006,51,2018
904652892-932017,46,2017
9046528622011,35,2014
90465281042019,34,2013
9046528752016,64,2013
9046528582007,59,2008
9046528532004,49,2002
9046528602009,57,2006
9046528762016,92-93,2017
9046530542016,62,2011
9046530202004,104,2019
9046530282012,64,2013
9046530292013,64,2013
9046530141998,59,2008
9046530652016,75,2016
9046530372014,58,2007
9046530672017,53,2004
9046530262010,64,2013
9046530222006,60,2009
9046530632016,76,2016
9046530312014,58,2007
9046530942019,54,2016
9046530151999,20,2004
9046530932019,28,2012
9046530512015,29,2013
9046530862018,14,1998
9046530922019,65,2016
9046530522015,37,2014
9046530242008,67,2017
9046530882018,26,2010
9046530322014,22,2006
9046530812018,29,2013
9046530362014,63,2016
9046530272011,31,2014
9046530502015,94,2019
9046530782018,15,1999
9046530192003,93,2019
9046530792018,67,2017
9046530212005,26,2010
9046530892018,26,2010
9046530912019,51,2015
9046530802018,86,2018
9046530762017,92,2019
9046530622016,52,2015
9046530722017,24,2008
9046530562016,88,2018
9046530772017,32,2014
9046530392014,81,2018
904653043-442015,29,2013
9046530742017,15,1999
9046530182002,26,2010
9046530382014,36,2014
9046530822018,27,2011
9046530852018,50,2015
9046530732017,28,2012
9046530552016,26,2010
9046530702017,78,2018
9046530682017,19,2003
9046530121997,79,2018
9046530172001,26,2010
904653061990,86,2018
9046530252009,28,2012
9046530872018,14,1998
9046530492015,21,2005
9046531342017,89,2018
9046531312014,88,2018
9046535692015,27,2011
9046535722016,91,2019
9046535652014,80,2018
9046535742017,88,2018
9046535782018,76,2017
