id,name
9047452,J. Ambient Intelligence and Humanized Computing
9047453,Computational Biology and Chemistry
9047454,Computers & Chemistry
9047455,IJEGR
9047456,Electronic Publishing
9047457,IET Networks
9047458,IJQAETE
9047459,Human Factors
9047460,IJAISC
9047461,J. Web Semant.
9047462,IJISSS
9047463,Front. Neuroinform.
9047464,Mechatronic Systems and Control
9047465,Control and Intelligent Systems
9047466,ACM SIGMOD Digital Symposium Collection
9047467,J. Spatial Information Science
9047468,JSW
9047469,Discussiones Mathematicae Graph Theory
9047470,IJMCMC
9047471,Information Systems Frontiers
9047472,J. Comm. Inform. Networks
9047473,ICST Trans. Security Safety
9047474,EAI Endorsed Trans. Security Safety
9047475,Optical Switching and Networking
9047476,ACM TIST
9047477,IRMJ
9047478,Egyptian Computer Science Journal
9047479,Journal of Software Evolution and Process
9047480,Journal of Software Maintenance
9047481,Adv. Internet of Things
9047482,IJHPCN
9047483,Security and Communication Networks
9047484,J. Information Science
9047485,Applied Mathematics and Computer Science
9047486,Medical Image Analysis
9047487,The Computer Science Journal of Moldova
9047488,Online Information Review
9047489,IEEE Trans. Reliability
9047490,Foundations and Trends in Machine Learning
9047491,IJMHeur
9047492,IJAVET
9047493,IEEE Trans. Emerging Topics Comput.
9047494,JECO
9047495,Finance and Stochastics
9047496,IJOSSP
9047497,IEEE Journal on Selected Areas in Communications
9047498,IJISCM
9047499,Int. J. Semantic Web Inf. Syst.
9047500,Entertainment Computing
9047501,Adv. in Math. of Comm.
9047502,Polibits
9047503,JITE
9047504,Information Systems Research
9047505,IEEE Trans. Intelligent Transportation Systems
9047506,Formalized Mathematics
9047507,Computer-Aided Design
9047508,IJAPR
9047509,ARIST
9047510,IJBPIM
9047511,Digital Creativity
9047512,Intelligent Tutoring Media
9047513,Foundations and Trends in Computer Graphics and Vision
9047514,IJMLO
9047515,IJIRR
9047516,J. Computational Design and Engineering
9047517,J. Logic & Analysis
9047518,Logic & Analysis
9047519,IJRIS
9047520,EAI Endorsed Trans. Creative Technologies
9047521,J. Computational Engineering
9047522,IEEE Trans. Evolutionary Computation
9047523,Data Science and Engineering
9047524,IEEE Intelligent Informatics Bulletin
9047525,IEEE Computational Intelligence Bulletin
9047526,Australasian J. of Inf. Systems
9047527,J. Computational Applied Mathematics
9047528,Computer Aided Geometric Design
9047529,TACCESS
9047530,J. Innovation in Digital Ecosystems
9047531,Trans. Data Privacy
9047532,Transactions on Data Privacy
9047533,First Monday
9047534,J. Cases on Inf. Techn.
9047535,EAI Endorsed Trans. Future Intellig. Educat. Env.
9047536,IJUC
9047537,IEEE Intell. Transport. Syst. Mag.
9047538,IBM Journal of Research and Development
9047539,IEEE/ACM Trans. Audio
9047540,IEEE Trans. Speech and Audio Processing
9047541,IEEE Trans. Audio
9047542,IJNMC
9047543,IJKEDM
9047544,I. J. Computers for Math. Learning
9047545,Technology
9047546,J. Artificial General Intelligence
9047547,EAI Endorsed Trans. Indust. Netw. & Intellig. Syst.
9047548,J. AIS
9047549,J. Computer-Mediated Communication
9047550,Trans. Aspect-Oriented Software Development
9047551,Trans. Modularity and Composition
9047552,Computers in Entertainment
9047553,IJNDC
9047554,ISPRS Int. J. Geo-Information
9047555,Computational & Mathematical Organization Theory
9047556,DSH
9047557,LLC
9047558,Mathematics in Computer Science
9047559,J. Quantum Information Science
9047560,MIS Quarterly
9047561,IJSDA
9047562,IEEE Trans. Control of Network Systems
9047563,RAIRO - Theor. Inf. and Applic.
9047564,ITA
9047565,Archive of Formal Proofs
9047566,IJISP
9047567,Schedae Informaticae
9047568,T. Large-Scale Data- and Knowledge-Centered Systems
9047569,Trans. Large-Scale Data- and Knowledge-Centered Systems
9047570,Grey Systems T&A
9047571,IJMTM
9047572,Technometrics
9047573,Real-Time Systems
9047574,Annals of GIS
9047575,Communication Research
9047576,IJICTHD
9047577,Inteligencia Artificial
9047578,JDIM
9047579,ICST Trans. Mobile Communications Applications
9047580,EAI Endorsed Trans. Mobile Communications Applications
9047581,Memetic Computing
9047582,J. Knowledge Management
9047583,Int. J. Computer Games Technology
9047584,Inform.
9047585,Computer Science - R&D
9047586,IJWIS
9047587,J. Imaging
9047588,Symmetry
9047589,ACM Trans. Comput. Log.
9047590,Int. J. on Digital Libraries
9047591,Future Internet
9047592,Neural Processing Letters
9047593,Image Vision Comput.
9047594,Int. J. Web Service Res.
9047595,IJDMMM
9047596,IEEE Signal Process. Lett.
9047597,IJLT
9047598;;login,
9047599,Service Oriented Computing and Applications
9047600,J. Internet Services and Applications
9047601,IEEE Expert
9047602,IEEE Intelligent Systems
9047603,J. Sensors
9047604,IJSNet
9047605,IJSNET
9047606,Minds and Machines
9047607,Probl. Inf. Transm.
9047608,J. Grid Comput.
9047609,IJISCRAM
9047610,The New Review of Hypermedia and Multimedia
9047611,EURASIP J. Information Security
9047612,Communications and Network
9047613,IJOCI
9047614,IS Management
9047615,Informatica (Slovenia)
9047616,I. J. Robotics Res.
9047617,Archives and Museum Informatics
9047618,SIAM J. Math. Analysis
9047619,AI Soc.
9047620,J. Discrete Algorithms
9047621,InformingSciJ
9047622,IET Wireless Sensor Systems
9047623,D&D
9047624,Journal of WSCG
9047625,IJAEIS
9047626,Int. J. IT Standards and Standardization Res.
9047627,Journal of Communications and Networks
9047628,IJCIStudies
9047629,Bioinformatics
9047630,Computer Applications in the Biosciences
9047631,Bioinformatics [ISMB]
9047632,Bioinformatics [ISMB/ECCB]
9047633,JOEUC
9047634,J. Reliable Intelligent Environments
9047635,IJALR
9047636,J. Graphics
9047637,J. Graphics Tools
9047638,Computational Complexity
9047639,IJRAT
9047640,J. Intelligent Manufacturing
9047641,IJCCE
9047642,J. Mobile Multimedia
9047643,IJWMC
9047644,EPJ Data Sci.
9047645,Prague Bull. Math. Linguistics
9047646,Trans. Computational Collective Intelligence
9047647,Int. J. Comput. Proc. Oriental Lang.
9047648,IJATEM
9047649,JIDM
9047650,Comput. J.
9047651,The American Mathematical Monthly
9047652,Communications in Statistics - Simulation and Computation
9047653,Intell. Data Anal.
9047654,Int J. Information Management
9047655,IJBIR
9047656,POMACS
9047657,KI
9047658,IET Information Security
9047659,Scientific Programming
9047660,J. Phonetics
9047661,STTT
9047662,Spatial Cognition & Computation
9047663,BioData Mining
9047664,J. Internet Serv. Inf. Secur.
9047665,Photonic Network Communications
9047666,Science Robotics
9047667,IEEE Trans. Emerging Topics in Comput. Intellig.
9047668,IJBDCN
9047669,IJICoT
9047670,SIGIR Forum
9047671,Digital Technical Journal
9047672,IJAEC
9047673,EAI Endorsed Trans. e-Business
9047674,IEEE Trans. Comput. Intellig. and AI in Games
9047675,IEEE Trans. Games
9047676,Transportation Science
9047677,Int. J. Comput. Syst. Signal
9047678,IJMA
9047679,IJCEE
