id,volumeNumber,year
904745242013,4,2013
9047452102019,10,2019
904745262015,6,2015
904745212010,1,2010
904745292018,9,2018
904745222011,2,2011
904745272016,7,2016
904745252014,5,2014
9047453662017,66,2017
9047453772018,77,2018
9047453302006,30,2006
9047453602016,60,2016
9047453352011,35,2011
9047453732018,73,2018
9047453532014,53,2014
9047453512014,51,2014
9047453342010,34,2010
9047453762018,76,2018
9047453312007,31,2007
9047453282004,28,2004
9047453612016,61,2016
9047453472013,47,2013
9047453672017,67,2017
9047453272003,27,2003
9047453432013,43,2013
9047453322008,32,2008
904745762017,6,2017
904745752016,5,2016
904745712012,1,2012
904745742015,4,2015
9047459542012,54,2012
9047459562014,56,2014
9047459602018,60,2018
9047459432001,43,2001
9047459582016,58,2016
9047459492007,49,2007
904746232011,3,2011
904746272015,7,2015
904746320182018,2018,2018
904746320172017,2017,2017
904746320162016,2016,2016
9047465412013,41,2013
9047465402012,40,2012
9047465422014,42,2014
9047465452017,45,2017
904746832008,3,2008
904746882013,8,2013
904746852010,5,2010
904746872012,7,2012
904746862011,6,2011
904746892014,9,2014
9047468102015,10,2015
9047468132018,13,2018
904746842009,4,2009
9047468112016,11,2016
9047469392019,39,2019
9047469382018,38,2018
9047469342014,34,2014
9047469272007,27,2007
9047469352015,35,2015
9047469262006,26,2006
9047469372017,37,2017
904747082017,8,2017
904747072016,7,2016
904747062014,6,2014
904747182006,8,2006
9047471172015,17,2015
904747132001,3,2001
9047471162014,16,2014
9047471192017,19,2017
9047471202018,20,2018
904747172005,7,2005
9047471152013,15,2013
9047471142012,14,2012
904747212016,1,2016
904747222017,2,2017
904747232018,3,2018
904747322015,2,2015
9047475112014,11,2014
9047475222016,22,2016
904747552008,5,2008
904747532006,3,2006
9047475182015,18,2015
904747582011,8,2011
9047475122014,12,2014
904747572010,7,2010
9047475232017,23,2017
9047475312019,31,2019
904747692018,9,2018
904747652014,5,2014
904747652013,5,2013
904747662015,6,2015
9047476102019,10,2019
904747682017,8,2017
904747622011,2,2011
904747672016,7,2016
904747672015,7,2015
904747632012,3,2012
904747692017,9,2017
9047479262014,26,2014
9047480172005,17,2005
9047480192007,19,2007
9047479252013,25,2013
9047479242012,24,2012
9047479302018,30,2018
904748071995,7,1995
904748091997,9,1997
9047480132001,13,2001
9047480222010,22,2010
9047482102017,10,2017
904748252008,5,2008
904748232005,3,2005
904748262009,6,2009
9047482132019,13,2019
904748242006,4,2006
904748262010,6,2010
904748282015,8,2015
904748272014,7,2014
904748252007,5,2007
904748292016,9,2016
904748212004,1,2004
9047482112018,11,2018
904748352012,5,2012
904748392016,9,2016
904748320182018,2018,2018
904748372014,7,2014
904748342011,4,2011
904748382015,8,2015
904748362013,6,2013
904748312008,1,2008
904748322009,2,2009
904748332010,3,2010
904748320172017,2017,2017
9047484322006,32,2006
9047484332007,33,2007
9047484352009,35,2009
9047484392013,39,2013
9047485212011,21,2011
9047485232013,23,2013
9047485252015,25,2015
9047486342016,34,2016
9047486522019,52,2019
9047486282016,28,2016
9047486152011,15,2011
9047486142010,14,2010
9047486412017,41,2017
9047486502018,50,2018
9047486372017,37,2017
9047486432018,43,2018
904748672003,7,2003
9047486322016,32,2016
9047486182014,18,2014
9047486232015,23,2015
9047486472018,47,2018
9047486122008,12,2008
9047486362017,36,2017
9047486162012,16,2012
9047486172013,17,2013
9047486102006,10,2006
9047486262015,26,2015
9047486442018,44,2018
9047486242015,24,2015
9047486382017,38,2017
9047486512019,51,2019
9047486452018,45,2018
9047486422017,42,2017
9047486352017,35,2017
9047486132009,13,2009
9047486332016,33,2016
9047486202015,20,2015
9047486492018,49,2018
9047486462018,46,2018
904748682004,8,2004
9047486252015,25,2015
9047487152007,15,2007
9047487132005,13,2005
9047488372013,37,2013
9047488292005,29,2005
9047488412017,41,2017
9047488302006,30,2006
9047489612012,61,2012
9047489672018,67,2018
9047489522003,52,2003
9047489542005,54,2005
9047489662017,66,2017
9047489652016,65,2016
9047489572008,57,2008
9047489642015,64,2015
9047489602011,60,2011
9047489592010,59,2010
9047489622013,62,2013
9047489582009,58,2009
904749272016,7,2016
904749292018,9,2018
904749362018,6,2018
904749322014,2,2014
904749332015,3,2015
904749312013,1,2013
904749352017,5,2017
904749342016,4,2016
904749422004,2,2004
9047494122014,12,2014
9047494102012,10,2012
9047494142016,14,2016
904749552001,5,2001
9047495212017,21,2017
9047495192015,19,2015
9047495172013,17,2013
9047495202016,20,2016
9047495152011,15,2011
9047497242006,24,2006
9047497252007,25,2007
904749751987,5,1987
9047497322014,32,2014
9047497262008,26,2008
9047497332015,33,2015
9047497302012,30,2012
9047497342016,34,2016
9047497222004,22,2004
9047497192001,19,2001
9047497141996,14,1996
9047497312013,31,2013
9047497292011,29,2011
9047497352017,35,2017
9047497161998,16,1998
9047497101992,10,1992
9047497171999,17,1999
