Paper,Author
16,6753679
27,6753693
69,6753772
73,6753780
91,6753815
134,6753886
154,6753922
163,6753937
192,6753985
221,6753728
226,6753795
233,6754055
277,6754113
284,6754146
294,6754166
348,6754247
369,6753738
371,6754283
373,6754195
379,6753879
381,6753728
422,6754148
459,6753890
465,6754422
473,6754288
474,6754430
478,6753908
505,6754472
509,6753698
528,6754501
546,6754532
563,6754554
575,6754576
582,6754585
599,6754343
605,6754616
612,6754624
664,6754701
665,6754703
700,6754739
716,6754125
774,6754794
794,6754848
800,6754855
801,6754856
826,6754883
834,6754713
853,6754914
861,6754928
875,6754940
882,6753670
891,6754182
893,6753710
908,6754982
932,6753699
945,6754558
960,6755044
963,6754508
983,6753729
1010,6755096
1013,6753683
1059,6755148
1064,6755154
1080,6755174
1083,6755179
1110,6755109
1121,6753726
1243,6755340
1250,6755347
1260,6754292
1283,6755395
1299,6755410
1323,6755440
1355,6755454
1379,6755494
1382,6753671
1392,6755509
1398,6755515
1440,6755552
1450,6755567
1479,6755466
1495,6755607
1503,6753747
1505,6753762
1514,6755636
1525,6755669
1543,6755732
1547,6755740
1563,6755789
1574,6755834
1582,6755860
1583,6755866
1605,6755943
1611,6755974
1626,6755859
1651,6755945
1674,6756183
1687,6756238
1694,6756262
1711,6756323
1712,6756324
1757,6756476
1764,6756501
1774,6756475
1786,6756553
1789,6756560
1808,6756625
1838,6756218
1846,6756278
1865,6756634
1868,6756799
1873,6756813
1874,6755838
1897,6756075
1898,6756869
1910,6756909
1922,6755970
1925,6756947
1936,6756976
1951,6757026
1980,6756551
1984,6756304
1990,6757114
1991,6756551
1993,6756400
2022,6757201
2024,6757203
2068,6757300
2081,6756120
2085,6756509
2103,6757394
2105,6755970
2107,6756486
2115,6757423
2140,6755930
2162,6757557
2172,6757588
2183,6757638
2232,6757776
2242,6757796
2249,6757817
2274,6757899
2277,6757908
2278,6757910
2292,6757964
2311,6758019
2317,6758039
2328,6758065
2333,6755554
2338,6758104
2366,6758195
2373,6758213
2409,6758333
2425,6758372
2435,6758396
2477,6758507
2485,6758526
2515,6758622
2539,6758690
2542,6758699
2611,6758888
2622,6758918
2626,6758924
2637,6758952
2638,6758957
2640,6758960
2672,6759039
2677,6759049
2694,6757983
2733,6759184
2748,6759223
2750,6759232
2807,6758020
2825,6759416
2828,6759422
2832,6759433
2839,6759448
2840,6759450
2842,6759453
2844,6759457
2857,6759491
2859,6755859
2891,6759568
2899,6759585
2912,6758995
2917,6759628
2920,6758176
2926,6759642
2937,6759670
2944,6759613
2953,6759715
2956,6759721
2957,6759724
2963,6759737
2975,6759778
2981,6759795
2995,6757964
3000,6754928
3005,6757935
3019,6759879
3047,6758475
3051,6759953
3095,6754928
3110,6760095
3142,6758366
3150,6760185
3159,6760203
3166,6760218
3177,6760251
3195,6759277
3215,6758035
3266,6760426
3272,6760441
3283,6760461
3293,6760476
3309,6760519
3321,6760554
3332,6760574
3344,6760599
3380,6760693
3413,6760777
3421,6760797
3442,6760838
3471,6758273
3481,6760925
3500,6757798
3530,6761022
3537,6757841
3539,6761045
3544,6761056
3567,6761108
3575,6761128
3597,6761174
3598,6761175
3606,6757919
3621,6759957
3623,6758863
3673,6761335
3691,6761373
3697,6761390
3710,6758603
3718,6761424
3752,6761497
3762,6761520
3764,6761526
3771,6761540
3779,6761555
3792,6761582
3800,6761603
3816,6761633
3817,6758379
3822,6761642
3836,6761676
3854,6761726
3859,6761735
3872,6761762
3884,6761786
3892,6761812
3893,6761815
3900,6761840
3913,6761881
3920,6761910
3925,6761924
3940,6762001
3944,6762005
3965,6762083
3974,6762111
3984,6762148
3985,6762152
4001,6762211
4010,6762228
4067,6762409
4083,6762453
4092,6762480
4118,6762560
4140,6758670
4151,6762111
4159,6762684
4160,6762688
