Paper,JournalVolume
1228654,904745242013
1228659,9047452102019
1228704,9047452102019
1228709,904745262015
1228735,904745212010
1228748,904745212010
1228763,904745292018
1228767,904745262015
1228786,904745222011
1228796,904745212010
1228798,904745292018
1228802,9047452102019
1228816,9047452102019
1228820,904745272016
1228840,904745212010
1228845,904745222011
1228850,904745252014
1228868,904745242013
1228877,904745262015
1228891,904745262015
1228902,904745252014
1228920,904745262015
1228921,904745212010
1228924,904745242013
1229012,9047452102019
1229022,9047452102019
1229030,904745212010
1229063,904745292018
1229075,904745242013
1229082,904745262015
1229114,9047452102019
1229116,904745292018
1229214,904745212010
1229227,904745252014
1229245,904745242013
1229261,904745212010
1229262,904745222011
1229281,9047452102019
1229290,904745252014
1229301,904745262015
1229361,9047453662017
1229473,9047453662017
1229477,9047453772018
1229551,9047453302006
1229600,9047453772018
1229995,9047453602016
1230005,9047453352011
1230211,9047453732018
1230263,9047453532014
1230438,9047453512014
1230465,9047453342010
1230472,9047453762018
1230554,9047453312007
1230652,9047453282004
1230766,9047453312007
1230819,9047453612016
1230820,9047453352011
1231078,9047453472013
1231487,9047453672017
1231531,9047453762018
1231602,9047453672017
1231614,9047453272003
1231655,9047453432013
1231741,9047453322008
1232160,904745762017
1232223,904745752016
1232282,904745712012
1232308,904745742015
1232333,904745712012
1232337,904745752016
1232713,9047459542012
1232795,9047459562014
1232948,9047459602018
1233093,9047459432001
1233183,9047459582016
1233762,9047459492007
1233791,9047459562014
1234810,904746232011
1234839,904746272015
1235026,904746320182018
1235085,904746320182018
1235098,904746320172017
1235302,904746320162016
1235368,904746320172017
1235387,904746320182018
1235673,9047465412013
1235704,9047465402012
1235706,9047465422014
1235801,9047465452017
1235868,9047465452017
1236083,904746832008
1236097,904746882013
1236111,904746852010
1236136,904746872012
1236162,904746862011
1236207,904746882013
1236212,904746892014
1236222,904746892014
1236350,904746862011
1236353,904746892014
1236388,904746852010
1236390,904746882013
1236445,904746882013
1236476,9047468102015
1236483,904746862011
1236491,904746882013
1236494,904746892014
1236521,904746862011
1236531,904746862011
1236540,904746852010
1236559,904746882013
1236616,904746892014
1236633,904746882013
1236654,904746882013
1236671,904746892014
1236767,904746872012
1236796,904746872012
1236798,904746882013
1236813,904746852010
1236847,9047468132018
1236861,904746842009
1236897,9047468102015
1236909,904746842009
1236920,904746842009
1236940,904746892014
1236966,904746882013
1236993,9047468112016
1237035,904746872012
1237061,904746892014
1237069,904746852010
1237101,904746862011
1237113,904746862011
1237120,904746872012
1237121,904746882013
1237134,904746892014
1237138,904746882013
1237144,904746892014
1237157,904746872012
1237227,904746872012
1237236,904746892014
1237247,904746882013
1237258,9047468102015
1237263,9047468112016
1237305,904746882013
1237310,904746892014
1237312,904746862011
1237320,904746892014
1237351,904746852010
1237369,904746892014
1237377,904746872012
1237385,904746882013
1237415,904746862011
1237419,904746882013
1237456,904746872012
1237467,904746842009
1237499,904746882013
1237506,904746892014
1237507,904746852010
1237509,904746852010
1237554,904746882013
1237570,904746882013
1237593,904746852010
1237611,904746892014
1237616,904746862011
1237642,904746862011
1237650,904746842009
1237692,904746862011
1237701,904746892014
1237705,904746882013
1237747,904746882013
1237764,904746862011
1237765,904746892014
1237832,904746882013
1237870,904746862011
1237892,904746882013
1237895,904746832008
1237915,904746842009
1237920,904746862011
1237938,904746872012
1237948,904746862011
1237952,904746892014
1238003,904746882013
1238024,904746882013
1238066,904746872012
1238067,904746872012
1238087,904746892014
1238095,904746872012
1238156,904746892014
1238164,904746892014
1238169,904746832008
1238171,904746862011
1238184,904746872012
1238201,904746872012
1238217,904746842009
1238225,904746882013
1238242,904746872012
1238249,904746862011
1238270,904746872012
1238279,904746882013
1238309,904746882013
1238340,904746852010
1238373,904746872012
1238386,904746882013
1238394,904746882013
1238566,9047469392019
1238588,9047469382018
1238856,9047469342014
1238897,9047469382018
1238915,9047469272007
1238987,9047469382018
1239034,9047469342014
1239073,9047469342014
1239230,9047469352015
1239346,9047469262006
1239366,9047469372017
1239525,904747082017
1239560,904747072016
1239655,904747082017
1239659,904747062014
1239696,904747182006
1239702,9047471172015
1239758,904747132001
1239820,9047471162014
1239867,9047471192017
1239924,9047471202018
1239981,904747182006
1239995,904747172005
1240073,9047471192017
1240145,9047471172015
1240233,9047471152013
